isbn,naziv_knjige,autor,drzava_nastanka,jezik,izdavacka_kuca,datum_izdavanja,broj_stranica,uvez,wikipedia,zanr
978-0-670-69199-9,The Talisman,"[{""Ime:"":""Stephen"",""Prezime:"":""King"",""datum:"":""1947-09-21""},{""Ime:"":""Peter"",""Prezime:"":""Straub"",""datum:"":""1943-03-02""}]",USA,engleski,Pocket Books,2012-09-25,785,tvrdi,The_Talisman_(King_and_Straub_novel),roman
978-1-982110-56-7,The Institute,"[{""Ime:"":""Stephen"",""Prezime:"":""King"",""datum:"":""1947-09-21""}]",USA,engleski,Scribner,2019-09-10,576,tvrdi,Becoming_(book),horor roman
